username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,228000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,180000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,63600,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,56100,https://github.com/youngyangyang04/leetcode-master
azl397985856,leetcode,55300,https://github.com/azl397985856/leetcode
WerWolv,ImHex,49000,https://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,41100,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,40600,https://github.com/ClickHouse/ClickHouse
huihut,interview,36100,https://github.com/huihut/interview
doocs,leetcode,33900,https://github.com/doocs/leetcode
carbon-language,carbon-lang,32800,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,32500,https://github.com/CMU-Perceptual-Computing-Lab/openpose
aseprite,aseprite,32100,https://github.com/aseprite/aseprite
TheAlgorithms,C-Plus-Plus,31800,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,30300,https://github.com/microsoft/calculator
dragonflydb,dragonfly,27900,https://github.com/dragonflydb/dragonfly
gabime,spdlog,26100,https://github.com/gabime/spdlog
LizardByte,Sunshine,25200,https://github.com/LizardByte/Sunshine
changkun,modern-cpp-tutorial,24800,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,24700,https://github.com/microsoft/vcpkg
